CustomerID,Gender,Age,Tenure_Years,Balance,Num_Products,Has_CreditCard,Is_ActiveMember,Estimated_Salary,Churn
1,Male,68,0,11289.59,3,0,0,186751.98,0
2,Female,57,4,19255.62,1,0,1,144825.48,1
3,Male,24,6,197187.37,2,0,0,160859.94,0
4,Male,49,0,205869.09,3,1,1,188816.73,0
5,Male,65,1,169572.44,2,1,0,123019.1,1
6,Female,36,8,209767.14,1,0,1,135497.53,0
7,Male,23,2,179871.87,2,0,1,124218.28,0
8,Male,37,5,224233.66,2,1,0,161274.54,0
9,Male,44,6,37599.57,2,0,0,69213.13,0
10,Female,60,8,96935.38,2,0,0,161848.61,0
11,Male,54,4,116027.7,1,0,1,148438.21,1
12,Male,65,3,74415.95,3,1,1,128371.91,0
13,Male,24,1,181341.61,2,0,1,26982.51,0
14,Male,22,2,228109.7,1,0,1,159417.91,0
15,Female,28,4,103120.55,2,0,0,43836.67,0
16,Male,32,1,235385.49,2,1,1,193154.95,1
17,Female,20,3,129192.23,2,0,0,34668.76,0
18,Female,22,0,130628.91,1,1,1,149649.6,0
19,Female,40,3,150054.89,2,1,0,84876.62,0
20,Male,54,6,67082.77,2,1,1,152424.27,0
21,Female,26,2,95840.13,3,1,1,113411.49,0
22,Male,32,9,138309.36,1,0,0,133310.94,1
23,Female,20,7,235495.72,3,0,1,33578.61,0
24,Female,46,5,160673.14,3,1,1,193966.24,0
25,Female,23,5,83279.14,3,0,1,20692.37,0
26,Female,34,0,2617.14,3,0,0,189408.7,0
27,Female,43,4,245416.41,2,1,1,122285.03,0
28,Female,38,2,123246.14,3,1,0,66488.63,0
29,Female,25,9,234623.79,1,0,1,134791.0,0
30,Female,38,0,137336.31,2,0,1,141121.48,0
31,Male,28,7,151366.22,3,0,0,151459.7,0
32,Male,55,6,177978.06,3,0,0,22958.8,0
33,Female,25,6,80243.93,1,1,0,196900.83,0
34,Female,59,9,174745.99,1,1,1,131224.33,0
35,Female,41,9,131697.98,3,1,0,87956.52,0
36,Male,52,9,168119.99,3,0,1,122717.07,0
37,Female,31,3,208958.32,3,1,1,52115.93,0
38,Male,31,5,46057.28,3,0,0,64507.98,0
39,Male,27,8,153387.73,3,1,1,35440.31,0
40,Male,29,2,13027.83,1,0,1,178262.06,0
41,Male,55,8,25528.77,1,0,1,65288.02,0
42,Male,61,3,168648.56,2,1,1,153147.88,0
43,Female,63,4,17734.41,2,1,0,69355.76,1
44,Female,51,6,148839.44,1,0,1,46277.96,0
45,Female,58,5,55003.15,2,0,1,39464.2,0
46,Female,27,9,76021.21,3,1,0,174843.98,0
47,Female,34,7,32409.13,2,0,0,41552.62,0
48,Male,34,7,62166.87,3,0,1,35686.85,0
49,Female,20,7,205322.95,3,0,0,21683.86,1
50,Female,48,2,159719.6,2,1,0,85959.21,0
51,Male,68,9,237439.95,2,0,1,189683.69,0
52,Female,18,5,12186.21,3,0,0,183556.97,1
53,Male,29,6,198103.0,1,0,1,40709.49,0
54,Female,56,8,174769.3,2,1,1,22249.05,0
55,Male,21,9,65223.08,2,1,1,155181.35,0
56,Female,59,9,182291.68,1,1,0,75165.91,0
57,Female,30,3,179137.14,2,0,1,170241.86,0
58,Male,51,4,114836.3,3,0,1,58777.3,0
59,Male,59,7,172159.9,1,0,1,108597.55,0
60,Male,38,0,111145.23,1,0,0,25930.29,1
61,Male,39,5,83886.4,3,0,0,181048.67,1
62,Male,21,3,116622.74,3,0,1,52035.68,0
63,Male,35,4,223782.37,3,1,1,73046.55,0
64,Male,22,4,96145.95,1,0,0,106346.07,1
65,Male,36,1,100922.04,3,1,1,68828.39,0
66,Female,19,7,152100.81,2,0,0,27229.42,0
67,Female,29,1,188249.87,2,0,1,25235.5,1
68,Male,34,3,183655.22,3,1,0,191938.39,0
69,Female,27,4,4949.68,2,1,1,78589.34,0
70,Female,51,0,171853.83,2,0,1,80190.49,0
71,Female,23,5,112638.51,1,0,0,186121.99,0
72,Female,25,1,131022.49,3,0,0,170507.66,1
73,Male,68,4,140415.83,2,1,0,143649.49,0
74,Female,28,5,182929.9,3,0,1,138531.04,0
75,Male,29,7,207833.25,3,0,0,164195.43,0
76,Female,26,8,161565.24,2,1,0,50397.58,1
77,Female,19,5,140976.81,2,1,0,139569.47,1
78,Female,25,4,93442.31,1,0,0,37711.75,1
79,Male,28,3,34469.55,1,0,0,42772.29,0
80,Female,53,1,239644.42,1,1,0,63696.1,0
81,Male,27,1,115460.57,2,0,1,147764.68,0
82,Female,38,6,141553.06,1,1,0,180658.13,1
83,Male,37,4,187768.28,3,1,0,144341.53,0
84,Female,65,6,17102.62,1,0,0,94992.14,0
85,Male,25,0,213752.75,1,1,1,112459.02,1
86,Male,53,0,199256.44,1,1,0,148218.64,1
87,Female,46,4,193607.15,3,0,1,130390.74,0
88,Male,59,1,5495.68,3,1,0,115304.16,1
89,Female,29,7,131629.71,2,1,1,62622.65,0
90,Female,31,2,13567.09,1,0,0,131052.97,1
91,Female,65,0,137718.14,3,0,1,23360.27,0
92,Female,67,1,179612.08,3,1,1,120809.72,0
93,Female,38,9,30462.56,3,0,0,167734.11,0
94,Female,39,9,173720.78,2,1,1,52355.1,0
95,Female,38,6,112383.21,2,1,0,40557.88,0
96,Female,61,5,202888.23,2,1,1,194642.33,0
97,Female,67,7,133397.23,1,0,1,171823.4,0
98,Female,47,6,84030.38,3,1,1,74360.21,0
99,Female,56,9,82997.89,2,1,1,57543.1,0
100,Male,37,7,224371.63,2,0,0,80127.09,0
101,Male,41,2,113217.9,3,0,0,97620.49,0
102,Female,40,5,101438.47,3,0,0,167794.92,0
103,Female,24,6,9968.41,1,0,1,63056.67,1
104,Female,26,9,91081.15,1,1,1,149752.11,0
105,Female,18,0,212406.76,1,0,0,187272.38,1
106,Female,43,0,190246.91,2,0,0,88312.2,0
107,Female,55,6,55228.3,2,1,0,24688.44,0
108,Female,55,2,103264.16,3,1,1,168970.96,0
109,Female,61,2,49144.92,1,0,1,147514.49,0
110,Male,39,4,238554.2,3,0,0,46832.56,0
111,Female,61,5,149529.47,1,0,0,127443.0,1
112,Male,27,1,188588.7,1,0,0,168466.96,0
113,Female,23,2,178452.16,1,1,1,52585.73,0
114,Female,34,5,218422.34,1,0,1,60122.34,0
115,Male,68,2,237331.94,3,1,0,56320.68,0
116,Female,67,4,8111.54,3,1,0,199550.28,0
117,Male,55,8,243825.29,2,0,1,61313.89,0
118,Female,41,2,217635.62,1,1,0,68045.31,1
119,Female,68,5,95736.85,3,0,0,28626.62,0
120,Male,27,4,209267.31,1,0,0,196990.12,0
121,Female,25,4,184139.5,1,0,1,64415.75,0
122,Male,38,5,198278.59,2,0,0,150541.97,0
123,Female,23,5,55172.76,2,1,1,24746.34,0
124,Male,38,0,162140.93,3,0,0,161012.54,0
125,Male,56,8,6481.47,3,1,1,155109.89,0
126,Female,41,4,212057.28,2,0,1,35147.51,0
127,Female,50,0,237760.74,3,1,0,42068.33,1
128,Male,35,7,165530.86,3,1,1,73119.67,0
129,Female,45,6,128167.41,2,0,1,83840.23,0
130,Female,69,6,181432.77,1,0,0,161029.95,0
131,Female,49,4,81590.32,1,1,0,31014.02,0
